backend,mode,rps_per_traefik,component,metric,value
loki,cluster,100,loki,cpu_cores_avg,0.07118121794871794
loki,cluster,100,loki-grafana,cpu_cores_avg,0.010395775641025642
loki,cluster,100,minio,cpu_cores_avg,0.002014621794871795
loki,cluster,100,loki,mem_ws_max_bytes,158625792
loki,cluster,100,loki-grafana,mem_ws_max_bytes,307953664
loki,cluster,100,minio,mem_ws_max_bytes,69271552
loki,cluster,100,loki,mem_ws_max_bytes,155377664
loki,cluster,100,loki,mem_ws_max_bytes,155226112
loki,cluster,100,loki,mem_rss_max_bytes,151666688
loki,cluster,100,loki-grafana,mem_rss_max_bytes,191442944
loki,cluster,100,minio,mem_rss_max_bytes,67354624
loki,cluster,100,loki,mem_rss_max_bytes,150736896
loki,cluster,100,loki,mem_rss_max_bytes,148602880
loki,cluster,100,backend,cpu_cores_avg,0.08359161538461538
loki,cluster,100,backend,mem_ws_max_bytes,840093696
loki,cluster,100,traefik,rps_achieved,200
loki,cluster,100,fluent-bit,records_in,156156
loki,cluster,100,fluent-bit,records_out,156162
loki,cluster,100,fluent-bit,retries,0
loki,cluster,100,fluent-bit,errors,0
loki,cluster,100,192.168.1.63:9100,disk_delta_bytes,3215360
loki,cluster,100,192.168.1.64:9100,disk_delta_bytes,11685888
loki,cluster,100,192.168.1.65:9100,disk_delta_bytes,-11767808
loki,cluster,500,loki,cpu_cores_avg,0.23682400769230766
loki,cluster,500,loki-grafana,cpu_cores_avg,0.009781724358974354
loki,cluster,500,minio,cpu_cores_avg,0.004880016666666666
loki,cluster,500,loki,mem_ws_max_bytes,298872832
loki,cluster,500,loki-grafana,mem_ws_max_bytes,385990656
loki,cluster,500,minio,mem_ws_max_bytes,71950336
loki,cluster,500,loki,mem_ws_max_bytes,549117952
loki,cluster,500,loki,mem_ws_max_bytes,1958547456
loki,cluster,500,loki,mem_rss_max_bytes,283643904
loki,cluster,500,loki-grafana,mem_rss_max_bytes,191598592
loki,cluster,500,minio,mem_rss_max_bytes,67608576
loki,cluster,500,loki,mem_rss_max_bytes,527429632
loki,cluster,500,loki,mem_rss_max_bytes,1945354240
loki,cluster,500,backend,cpu_cores_avg,0.2514857487179487
loki,cluster,500,backend,mem_ws_max_bytes,3004960768
